T [s],PSa [m/s^2]
0,1.8778
0.01,1.8812
0.02,1.95757
0.03,2.17731
0.04,2.66001
0.05,3.18213
0.06,2.61875
0.07,3.03036
0.08,2.63547
0.09,3.37868
0.1,3.85933
0.11,4.75025
0.12,4.2133
0.13,4.01052
0.14,4.48691
0.15,4.61534
0.16,4.88734
0.17,5.64708
0.18,5.35457
0.19,4.57492
0.2,4.54458
0.21,4.09975
0.22,3.65207
0.23,3.69379
0.24,4.07764
0.25,4.31471
0.26,4.09954
0.27,4.35335
0.28,5.1724
0.29,6.3989
0.3,7.49601
0.31,8.30082
0.32,8.82774
0.33,9.03021
0.34,8.81229
0.35,8.21609
0.36,7.45183
0.37,6.78018
0.38,6.0511
0.39,5.29663
0.4,4.5865
0.41,4.07596
0.42,3.67667
0.43,3.35118
0.44,3.04188
0.45,2.75008
0.46,2.47688
0.47,2.22365
0.48,1.99185
0.49,1.78315
0.5,1.59891
0.51,1.44
0.52,1.30651
0.53,1.19756
0.54,1.11131
0.55,1.04512
0.56,0.995792
0.57,0.95987
0.58,0.933966
0.59,0.915006
0.6,0.900332
0.61,0.887778
0.62,0.875681
0.63,0.862845
0.64,0.848441
0.65,0.831959
0.66,0.813145
0.67,0.791934
0.68,0.768384
0.69,0.742666
0.7,0.714993
0.71,0.691606
0.72,0.69624
0.73,0.69994
0.74,0.702631
0.75,0.704291
0.76,0.704916
0.77,0.704531
0.78,0.703175
0.79,0.700895
0.8,0.697746
0.81,0.693779
0.82,0.689051
0.83,0.68362
0.84,0.677537
0.85,0.670857
0.86,0.663631
0.87,0.655911
0.88,0.647744
0.89,0.639177
0.9,0.630253
0.91,0.625781
0.92,0.619804
0.93,0.612451
0.94,0.603853
0.95,0.594139
0.96,0.583436
0.97,0.571861
0.98,0.559531
0.99,0.546552
1,0.533025
1.01,0.519044
1.02,0.508222
1.03,0.497636
1.04,0.487081
1.05,0.476572
1.06,0.466124
1.07,0.455747
1.08,0.445452
1.09,0.435253
1.1,0.425157
1.11,0.415172
1.12,0.405307
1.13,0.395569
1.14,0.385963
1.15,0.376497
1.16,0.367174
1.17,0.357998
1.18,0.348973
1.19,0.340102
1.2,0.336412
1.21,0.335587
1.22,0.334154
1.23,0.332155
1.24,0.329634
1.25,0.326634
1.26,0.323195
1.27,0.319355
1.28,0.315151
1.29,0.310618
1.3,0.305789
1.31,0.300696
1.32,0.295369
1.33,0.289835
1.34,0.284122
1.35,0.278255
1.36,0.275463
1.37,0.273515
1.38,0.271445
1.39,0.269264
1.4,0.26698
1.41,0.264603
1.42,0.262141
1.43,0.259603
1.44,0.256996
1.45,0.254328
1.46,0.251604
1.47,0.248833
1.48,0.246019
1.49,0.243169
1.5,0.240287
1.51,0.23738
1.52,0.234451
1.53,0.231504
1.54,0.228545
1.55,0.225577
1.56,0.222605
1.57,0.21963
1.58,0.216656
1.59,0.213687
1.6,0.210725
1.61,0.207772
1.62,0.204832
1.63,0.201906
1.64,0.198996
1.65,0.196104
1.66,0.193233
1.67,0.190383
1.68,0.187557
1.69,0.184754
1.7,0.181977
1.71,0.179228
1.72,0.176506
1.73,0.173812
1.74,0.171149
1.75,0.168516
1.76,0.165914
1.77,0.163343
1.78,0.160804
1.79,0.158298
1.8,0.155824
1.81,0.153384
1.82,0.150977
1.83,0.148603
1.84,0.146263
1.85,0.143957
1.86,0.141685
1.87,0.139446
1.88,0.137241
1.89,0.13507
1.9,0.132933
1.91,0.130828
1.92,0.128758
1.93,0.12672
1.94,0.124715
1.95,0.122743
1.96,0.120803
1.97,0.118895
1.98,0.117019
1.99,0.115175
2,0.113362
2.01,0.111579
2.02,0.109827
2.03,0.108106
2.04,0.106414
2.05,0.104752
2.06,0.103509
2.07,0.102569
2.08,0.101638
2.09,0.100716
2.1,0.0998038
2.11,0.0989005
2.12,0.0980063
2.13,0.0971217
2.14,0.096246
2.15,0.0953792
2.16,0.0945212
2.17,0.0936726
2.18,0.0928328
2.19,0.0920017
2.2,0.0911791
2.21,0.0903654
2.22,0.0895605
2.23,0.088764
2.24,0.0879759
2.25,0.0871961
2.26,0.0864247
2.27,0.0856618
2.28,0.084907
2.29,0.0841602
2.3,0.0834213
2.31,0.0826904
2.32,0.0819677
2.33,0.0812528
2.34,0.0805455
2.35,0.0798457
2.36,0.0791535
2.37,0.0784689
2.38,0.077792
2.39,0.0771223
2.4,0.0764598
2.41,0.0758045
2.42,0.0751562
2.43,0.074515
2.44,0.073881
2.45,0.0732539
2.46,0.0726336
2.47,0.0720199
2.48,0.0714129
2.49,0.0708125
2.5,0.0702185
2.51,0.0696313
2.52,0.0690504
2.53,0.0684758
2.54,0.0679074
2.55,0.0673451
2.56,0.0667889
2.57,0.0662387
2.58,0.0656944
2.59,0.0651563
2.6,0.0646239
2.61,0.0640972
2.62,0.0635762
2.63,0.0630608
2.64,0.0625509
2.65,0.0620465
2.66,0.0615475
2.67,0.0610539
2.68,0.0605657
2.69,0.0600827
2.7,0.0596048
2.71,0.0591321
2.72,0.0586643
2.73,0.0582016
2.74,0.0577437
2.75,0.0572907
2.76,0.0568425
2.77,0.056399
2.78,0.0559604
2.79,0.0555263
2.8,0.0550969
2.81,0.0546719
2.82,0.0542514
2.83,0.0538353
2.84,0.0534236
2.85,0.0530161
2.86,0.0526129
2.87,0.0522139
2.88,0.051819
2.89,0.0514283
2.9,0.0510417
2.91,0.0506591
2.92,0.0502804
2.93,0.0499056
2.94,0.0495347
2.95,0.0491676
2.96,0.0488042
2.97,0.0484446
2.98,0.0480886
2.99,0.0477362
3,0.0473875
