name,z,rho,Vs,0.000001,0.00001,0.00003,0.0001,0.0003,0.001,0.003,0.01,0.03,0.05
Clay 0-2 m,0,1630,100,1,0.978,0.938,0.825,0.617,0.336,0.18,0.089,0.044,0.031
Clay 0-2 m,-0.4,1630,100,1,0.978,0.938,0.825,0.617,0.336,0.18,0.089,0.044,0.031
Clay 0-2 m,-0.8,1630,100,1,0.978,0.938,0.825,0.617,0.336,0.18,0.089,0.044,0.031
Clay 0-2 m,-1.2,1630,100,1,0.978,0.938,0.825,0.617,0.336,0.18,0.089,0.044,0.031
Clay 0-2 m,-1.6,1630,100,1,0.978,0.938,0.825,0.617,0.336,0.18,0.089,0.044,0.031
Clay 2-4 m,-2,1630,100,1,0.981,0.945,0.842,0.646,0.381,0.212,0.092,0.037,0.023
Clay 2-4 m,-2.4,1630,100,1,0.981,0.945,0.842,0.646,0.381,0.212,0.092,0.037,0.023
Clay 2-4 m,-2.8,1630,100,1,0.981,0.945,0.842,0.646,0.381,0.212,0.092,0.037,0.023
Clay 2-4 m,-3.2,1630,100.2,1,0.981,0.945,0.842,0.646,0.381,0.212,0.092,0.037,0.023
Clay 2-4 m,-3.6,1630,102.3,1,0.981,0.945,0.842,0.646,0.381,0.212,0.092,0.037,0.023
Clay 4-10 m,-4,1630,104.2,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-4.4,1630,105.9,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-4.8,1630,107.6,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-5.2,1630,109.1,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-5.6,1630,110.5,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-6.05,1630,112,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-6.5,1630,113.4,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-6.95,1630,114.7,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-7.45,1630,116.1,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-7.95,1630,117.4,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-8.45,1630,118.7,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-8.95,1630,119.9,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-9.45,1630,121,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Clay 4-10 m,-9.95,1630,130,1,0.983,0.951,0.857,0.673,0.403,0.211,0.083,0.031,0.02
Sand 10-20 m,-10.45,1940,225,1,0.961,0.899,0.746,0.517,0.261,0.114,0.041,0.015,0.0095
Sand 10-20 m,-10.95,1940,236.8,1,0.961,0.899,0.746,0.517,0.261,0.114,0.041,0.015,0.0095
Sand 10-20 m,-11.95,1940,237.1,1,0.961,0.899,0.746,0.517,0.261,0.114,0.041,0.015,0.0095
Sand 10-20 m,-12.95,1940,237.4,1,0.961,0.899,0.746,0.517,0.261,0.114,0.041,0.015,0.0095
Sand 10-20 m,-13.95,1940,237.7,1,0.961,0.899,0.746,0.517,0.261,0.114,0.041,0.015,0.0095
Sand 10-20 m,-14.95,1940,237.9,1,0.961,0.899,0.746,0.517,0.261,0.114,0.041,0.015,0.0095
Sand 10-20 m,-15.95,1940,238.2,1,0.961,0.899,0.746,0.517,0.261,0.114,0.041,0.015,0.0095
Sand 10-20 m,-16.95,1940,238.4,1,0.961,0.899,0.746,0.517,0.261,0.114,0.041,0.015,0.0095
Sand 10-20 m,-17.95,1940,238.6,1,0.961,0.899,0.746,0.517,0.261,0.114,0.041,0.015,0.0095
Sand 10-20 m,-18.95,1940,238.8,1,0.961,0.899,0.746,0.517,0.261,0.114,0.041,0.015,0.0095
Sand 20-30 m,-19.95,1940,239,1,0.967,0.915,0.78,0.564,0.3,0.135,0.049,0.018,0.011
Sand 20-30 m,-20.95,1940,239.2,1,0.967,0.915,0.78,0.564,0.3,0.135,0.049,0.018,0.011
Sand 20-30 m,-21.95,1940,239.4,1,0.967,0.915,0.78,0.564,0.3,0.135,0.049,0.018,0.011
Sand 20-30 m,-22.95,1940,239.5,1,0.967,0.915,0.78,0.564,0.3,0.135,0.049,0.018,0.011
Sand 20-30 m,-24,1940,295,1,0.967,0.915,0.78,0.564,0.3,0.135,0.049,0.018,0.011
Sand 20-30 m,-25.2,1940,297,1,0.967,0.915,0.78,0.564,0.3,0.135,0.049,0.018,0.011
Boundary,-26.4,1940,300,,,,,,,,,,
